"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"EGR1",0,0.455831978138296,0.916,0.446,0,"0","EGR1",0.47
"CAMK2N1",0,0.453939991332486,0.575,0.137,0,"0","CAMK2N1",0.438
"CREB3L1",0,0.452902353539044,0.505,0.039,0,"0","CREB3L1",0.466
"FOXL2",0,0.452744270015378,0.516,0.088,0,"0","FOXL2",0.428
"TCAF1",0,0.451750809510096,0.696,0.226,0,"0","TCAF1",0.47
"SPTBN1",0,0.45164460865119,0.88,0.352,0,"0","SPTBN1",0.528
"ST3GAL4",0,0.451619132347221,0.615,0.131,0,"0","ST3GAL4",0.484
"EEF1B2",0,0.450501728295856,0.986,0.84,0,"0","EEF1B2",0.146
"MIR222HG",0,0.449786097388075,0.443,0.127,0,"0","MIR222HG",0.316
"CARMN",0,0.449542868013374,0.495,0.091,0,"0","CARMN",0.404
"FKBP7",0,0.449012571093413,0.633,0.115,0,"0","FKBP7",0.518
"CFI",0,0.448140601598357,0.505,0.116,0,"0","CFI",0.389
"NRP2",0,0.445756729417936,0.674,0.204,0,"0","NRP2",0.47
"LOXL1",0,0.443991264569926,0.415,0.045,0,"0","LOXL1",0.37
"SEPT11",0,0.442729722534058,0.703,0.284,0,"0","SEPT11",0.419
"TCF4",0,0.44148579239372,0.856,0.33,0,"0","TCF4",0.526
"KDELR3",0,0.439250089013466,0.474,0.073,0,"0","KDELR3",0.401
"RPS5",0,0.438748390175992,0.992,0.888,0,"0","RPS5",0.104
"FBLIM1",0,0.438006933772696,0.567,0.091,0,"0","FBLIM1",0.476
"WWTR1",0,0.437383072117242,0.717,0.187,0,"0","WWTR1",0.53
"SMARCA1",0,0.436733929536469,0.684,0.156,0,"0","SMARCA1",0.528
"NENF",0,0.436023719098801,0.872,0.401,0,"0","NENF",0.471
"EEF1A1",0,0.435848084737608,0.999,0.984,0,"0","EEF1A1",0.015
"ADAMTS1",0,0.435489976365319,0.575,0.181,0,"0","ADAMTS1",0.394
"GPC3",0,0.435409182733446,0.431,0.067,0,"0","GPC3",0.364
"LIMA1",0,0.434476894231801,0.734,0.259,0,"0","LIMA1",0.475
"GPC6",0,0.434189593021239,0.529,0.054,0,"0","GPC6",0.475
"MIR99AHG",0,0.434176710461286,0.612,0.13,0,"0","MIR99AHG",0.482
"NFASC",0,0.433047041962298,0.444,0.048,0,"0","NFASC",0.396
"RPL15",0,0.432479579263899,0.997,0.947,0,"0","RPL15",0.05
"CRISPLD2",0,0.431411156435827,0.459,0.064,0,"0","CRISPLD2",0.395
"GSN",0,0.431123286501449,0.888,0.386,0,"0","GSN",0.502
"TSPAN4",0,0.430191292538433,0.699,0.227,0,"0","TSPAN4",0.472
"PMEPA1",0,0.428788423901564,0.595,0.213,0,"0","PMEPA1",0.382
"RBFOX2",0,0.42856402234915,0.716,0.187,0,"0","RBFOX2",0.529
"IL6ST",0,0.4283896068809,0.818,0.328,0,"0","IL6ST",0.49
"EID1",0,0.42639170777398,0.976,0.658,0,"0","EID1",0.318
"CHSY1",0,0.426283493814582,0.628,0.202,0,"0","CHSY1",0.426
"CHPF",0,0.42626783769498,0.622,0.177,0,"0","CHPF",0.445
